city,slug,normalized,count,counties,zip_count
MOUNT VERNON,mount-vernon,mount vernon,14,KNOX,1
MOUNT VICTORY,mount-victory,mount victory,1,HARDIN,1
MT BLANCHARD,mt-blanchard,mount blanchard,2,HANCOCK,1
MT ORAB,mt-orab,mount orab,3,BROWN,1
MT STERLING,mt-sterling,mount sterling,1,MADISON,1
MT VERNON,mt-vernon,mount vernon,2,KNOX,1
MT. GILEAD,mt-gilead,mount gilead,1,MORROW,1
MT. HEALTHY,mt-healthy,mount healthy,1,HAMILTON,1
MT. VERNON,mt-vernon,mount vernon,1,KNOX,1
MUNROE FALLS,munroe-falls,munroe falls,2,SUMMIT,1
N. RIDGEVILLE,n-ridgeville,n ridgeville,2,LORAIN,1
NAPOLEON,napoleon,napoleon,11,HENRY,1
NASHPORT,nashport,nashport,3,MUSKINGUM,1
NAVARRE,navarre,navarre,4,STARK,1
NEGLEY,negley,negley,1,COLUMBIANA,1
NELSONVILLE,nelsonville,nelsonville,7,ATHENS,1
NEW ALBANY,new-albany,new albany,18,FRANKLIN|LICKING,1
NEW BOSTON,new-boston,new boston,5,SCIOTO,1
NEW BREMEN,new-bremen,new bremen,3,AUGLAIZE,1
NEW CARLISLE,new-carlisle,new carlisle,2,CLARK|MIAMI,1
NEW CONCORD,new-concord,new concord,2,MUSKINGUM,1
NEW FRANKLIN,new-franklin,new franklin,2,SUMMIT,2
NEW KNOXVILLE,new-knoxville,new knoxville,2,SHELBY,1
NEW LEBANON,new-lebanon,new lebanon,1,MONTGOMERY,1
NEW LEXINGTON,new-lexington,new lexington,5,PERRY,1
NEW LONDON,new-london,new london,3,HURON,1
NEW MADISON,new-madison,new madison,1,DARKE,1
NEW MATAMORAS,new-matamoras,new matamoras,1,WASHINGTON,1
NEW MIDDELTOWN,new-middeltown,new middeltown,1,MAHONING,1
NEW MIDDLETOWN,new-middletown,new middletown,1,MAHONING,1
NEW PARIS,new-paris,new paris,2,PREBLE,1
NEW PHILADELPHI,new-philadelphi,new philadelphi,3,TUSCARAWAS,1
NEW PHILADELPHIA,new-philadelphia,new philadelphia,12,TUSCARAWAS,1
NEW PHILADLEPHIA,new-philadlephia,new philadlephia,1,TUSCARAWAS,1
NEW RICHMOND,new-richmond,new richmond,3,CLERMONT,1
NEW RIEGEL,new-riegel,new riegel,1,SENECA,1
NEW SPRINGFIELD,new-springfield,new springfield,1,MAHONING,1
NEW VIENNA,new-vienna,new vienna,1,CLINTON,1
NEW WASHINGTON,new-washington,new washington,1,CRAWFORD,1
NEW WATERFORD,new-waterford,new waterford,1,COLUMBIANA,1
NEWARK,newark,newark,56,LICKING,2
NEWBURY,newbury,newbury,2,GEAUGA,1
NEWCOMERSTOWN,newcomerstown,newcomerstown,4,TUSCARAWAS,1
NEWPORT,newport,newport,1,WASHINGTON,1
NEWTON FALLS,newton-falls,newton falls,4,TRUMBULL,1
NEWTOWN,newtown,newtown,1,HAMILTON,1
NILES,niles,niles,9,TRUMBULL,1
NORTH BALTIMORE,north-baltimore,north baltimore,2,WOOD,1
NORTH BEND,north-bend,north bend,1,HAMILTON,1
NORTH CANTON,north-canton,north canton,23,STARK|SUMMIT,3
NORTH COLLEGE HILL,north-college-hill,north college hill,1,HAMILTON,1
NORTH JACKSON,north-jackson,north jackson,2,MAHONING,1
NORTH KINGSVILLE,north-kingsville,north kingsville,1,ASHTABULA,1
NORTH LEWISBURG,north-lewisburg,north lewisburg,3,CHAMPAIGN,1
NORTH OLMSTED,north-olmsted,north olmsted,16,CUYAHOGA,1
NORTH RANDALL,north-randall,north randall,4,CUYAHOGA,1
NORTH RIDGEVILL,north-ridgevill,north ridgevill,1,LORAIN,1
NORTH RIDGEVILLE,north-ridgeville,north ridgeville,11,LORAIN,1
NORTH ROYALTON,north-royalton,north royalton,11,CUYAHOGA,1
NORTHBEND,northbend,northbend,1,HAMILTON,1
NORTHFIELD,northfield,northfield,7,SUMMIT,1
NORTHFIELD CENT,northfield-cent,northfield cent,1,SUMMIT,1
NORTHWOOD,northwood,northwood,3,WOOD,1
NORTON,norton,norton,5,SUMMIT,1
NORWALK,norwalk,norwalk,12,HURON,1
NORWICH,norwich,norwich,1,MUSKINGUM,1
NORWOOD,norwood,norwood,13,HAMILTON,1
NOVELTY,novelty,novelty,3,GEAUGA,1
OAK HARBOR,oak-harbor,oak harbor,3,OTTAWA,1
OAK HILL,oak-hill,oak hill,4,JACKSON,1
OAKWOOD,oakwood,oakwood,2,CUYAHOGA|PAULDING,2
OAKWOOD VILLAGE,oakwood-village,oakwood village,2,CUYAHOGA,1
OBERLIN,oberlin,oberlin,8,LORAIN,1
OBETZ,obetz,obetz,1,FRANKLIN,1
OLMSTED,olmsted,olmsted,1,CUYAHOGA,1
OLMSTED FALLS,olmsted-falls,olmsted falls,4,CUYAHOGA,1
ONTARIO,ontario,ontario,5,RICHLAND,1
ORANGE,orange,orange,1,CUYAHOGA,1
ORANGE VILLAGE,orange-village,orange village,1,CUYAHOGA,1
OREGON,oregon,oregon,10,LUCAS,1
ORRVILLE,orrville,orrville,12,WAYNE,1
ORWELL,orwell,orwell,5,ASHTABULA,1
OSTRANDER,ostrander,ostrander,2,DELAWARE,1
OTTAWA,ottawa,ottawa,5,PUTNAM,1
OTTOVILLE,ottoville,ottoville,1,PUTNAM,1
OTWAY,otway,otway,1,SCIOTO,1
OWENSVILLE,owensville,owensville,4,CLERMONT,1
OXFORD,oxford,oxford,8,BUTLER,1
PAINESVILLE,painesville,painesville,16,LAKE,2
PAINESVILLIE,painesvillie,painesvillie,1,LAKE,1
PANDORA,pandora,pandora,1,PUTNAM,1
PARMA,parma,parma,31,CUYAHOGA,3
PARMA HEIGHTS,parma-heights,parma heights,6,CUYAHOGA,2
PARMA HTS,parma-hts,parma heights,4,CUYAHOGA,1
PATASKALA,pataskala,pataskala,17,LICKING,1
PATASKTALA,patasktala,patasktala,1,LICKING,1
PATRIOT,patriot,patriot,2,GALLIA,1
PAULDING,paulding,paulding,3,PAULDING,1
PAYNE,payne,payne,2,PAULDING,1
PEDRO,pedro,pedro,1,LAWRENCE,1
PEEBLES,peebles,peebles,3,ADAMS,1
PEMBERVILLE,pemberville,pemberville,4,WOOD,1
PENINSULA,peninsula,peninsula,2,SUMMIT,1
PEPPER PIKE,pepper-pike,pepper pike,5,CUYAHOGA,1
PERRY,perry,perry,3,LAKE,1
PERRYSBURG,perrysburg,perrysburg,19,WOOD,1
PETTISVILLE,pettisville,pettisville,1,FULTON,1
PHILO,philo,philo,1,MUSKINGUM,1
PICKERINGTON,pickerington,pickerington,39,FAIRFIELD|FRANKLIN,1
PIERPONT,pierpont,pierpont,1,ASHTABULA,1
PIKETON,piketon,piketon,3,PIKE,1
PIONEER,pioneer,pioneer,1,WILLIAMS,1
PIQUA,piqua,piqua,11,MIAMI,1
PLAIN CITY,plain-city,plain city,8,MADISON|UNION,1
PLEASANT HILL,pleasant-hill,pleasant hill,1,MIAMI,1
PLEASANTVILLE,pleasantville,pleasantville,2,FAIRFIELD,1
PLYMOUTH,plymouth,plymouth,2,HURON|RICHLAND,1
POLAND,poland,poland,5,MAHONING,1
POMEROY,pomeroy,pomeroy,2,MEIGS,1
PORT CLINTON,port-clinton,port clinton,6,OTTAWA,1
PORTMSOUTH,portmsouth,portmsouth,1,SCIOTO,1
PORTSMOUTH,portsmouth,portsmouth,14,SCIOTO,1
POWELL,powell,powell,38,DELAWARE|FRANKLIN,2
POWHATAN POINT,powhatan-point,powhatan point,1,BELMONT,1
PROCTORVILLE,proctorville,proctorville,4,LAWRENCE,1
PROSPECT,prospect,prospect,1,MARION,1
RACINE,racine,racine,3,MEIGS,1
RAVENNA,ravenna,ravenna,17,PORTAGE,1
RAWSON,rawson,rawson,2,HANCOCK,1
READING,reading,reading,2,HAMILTON,1
REEDSVILLE,reedsville,reedsville,4,MEIGS,1
REYNOLDBURG,reynoldburg,reynoldburg,2,FRANKLIN,1
REYNOLDSBURG,reynoldsburg,reynoldsburg,44,FAIRFIELD|FRANKLIN|LICKING,2
REYONOLDSBURG,reyonoldsburg,reyonoldsburg,1,FRANKLIN,1
RICHFIELD,richfield,richfield,6,SUMMIT,1
RICHMOND HEIGHTS,richmond-heights,richmond heights,8,CUYAHOGA,1
RICHMOND HTS,richmond-hts,richmond heights,3,CUYAHOGA,1
RICHMOND HTS.,richmond-hts,richmond heights,1,CUYAHOGA,1
RICHWOOD,richwood,richwood,2,UNION,1
RIO GRANDE,rio-grande,rio grande,4,GALLIA,1
RIPLEY,ripley,ripley,2,BROWN,1
RITTMAN,rittman,rittman,5,WAYNE,1
RIVERSIDE,riverside,riverside,8,MONTGOMERY,2
ROCK CREEK,rock-creek,rock creek,3,ASHTABULA,1
ROCKFORD,rockford,rockford,3,MERCER,1
ROCKY RIVER,rocky-river,rocky river,12,CUYAHOGA,1
ROOTSTOWN,rootstown,rootstown,4,PORTAGE,1
ROSEVILLE,roseville,roseville,3,MUSKINGUM|PERRY,1
ROSS,ross,ross,1,BUTLER,1
ROSSFORD,rossford,rossford,5,WOOD,3
RUSHVILLE,rushville,rushville,1,FAIRFIELD,1
RUSSELLVILLE,russellville,russellville,1,BROWN,1
RUSSIA,russia,russia,2,SHELBY,1
S. CHARLESTON,s-charleston,s charleston,1,CLARK,1
SABINA,sabina,sabina,1,CLINTON,1
SAGAMORE HILLS,sagamore-hills,sagamore hills,1,SUMMIT,1
SAINT,saint,saint,1,BELMONT,1
SAINT BERNARD,saint-bernard,saint bernard,1,HAMILTON,1
SAINT CLAIRSVIL,saint-clairsvil,saint clairsvil,1,BELMONT,1
SAINT CLAIRSVILLE,saint-clairsville,saint clairsville,8,BELMONT,1
SAINT HENRY,saint-henry,saint henry,2,MERCER,1
SAINT MARYS,saint-marys,saint marys,5,AUGLAIZE,1
SAINT PARIS,saint-paris,saint paris,1,CHAMPAIGN,1
SALEM,salem,salem,12,COLUMBIANA|MAHONING,1
SALINEVILLE,salineville,salineville,2,COLUMBIANA,1
SANDUSKY,sandusky,sandusky,22,ERIE,1
SARAHSVILLE,sarahsville,sarahsville,2,NOBLE,1
SARDINIA,sardinia,sardinia,1,BROWN,1
SARDIS,sardis,sardis,1,MONROE,1
SCIOTOVILLE,sciotoville,sciotoville,2,SCIOTO,1
SCOTT,scott,scott,1,PAULDING,1
SCOTTOWN,scottown,scottown,2,LAWRENCE,1
SEAMAN,seaman,seaman,1,ADAMS,1
SEBRING,sebring,sebring,3,MAHONING,1
SEVEN MILE,seven-mile,seven mile,2,BUTLER,1
SEVILLE,seville,seville,5,MEDINA,1
SHADYSIDE,shadyside,shadyside,5,BELMONT,1
SHAKER HEIGHTS,shaker-heights,shaker heights,23,CUYAHOGA,3
SHAKER HTS,shaker-hts,shaker heights,2,CUYAHOGA,2
SHARONVILLE,sharonville,sharonville,2,HAMILTON,1
SHEFFIELD LAKE,sheffield-lake,sheffield lake,5,LORAIN,1
SHEFFIELD TWNSH,sheffield-twnsh,sheffield twnsh,1,LORAIN,1
SHELBY,shelby,shelby,9,RICHLAND,1
SHERWOOD,sherwood,sherwood,1,DEFIANCE,1
SHILOH,shiloh,shiloh,1,RICHLAND,1
SIDNEY,sidney,sidney,18,SHELBY,1
SILVER LAKE,silver-lake,silver lake,2,SUMMIT,2
SMITHVILLE,smithville,smithville,4,WAYNE,1
SOLON,solon,solon,11,CUYAHOGA,1
SOMERSET,somerset,somerset,3,PERRY,1
SOUTH BLOOMFIELD,south-bloomfield,south bloomfield,2,PICKAWAY,1
SOUTH CHARLESTON,south-charleston,south charleston,1,CLARK,1
SOUTH EUCLID,south-euclid,south euclid,23,CUYAHOGA,2
SOUTH LEBANON,south-lebanon,south lebanon,3,WARREN,1
SOUTH POINT,south-point,south point,14,LAWRENCE,1
SOUTH RUSSELL,south-russell,south russell,1,GEAUGA,1
SOUTH VIENNA,south-vienna,south vienna,1,CLARK,1
SOUTH WEBSTER,south-webster,south webster,3,SCIOTO,1
SOUTHINGTON,southington,southington,1,TRUMBULL,1
SPENCERVILLE,spencerville,spencerville,3,ALLEN,1
SPRINGBORO,springboro,springboro,13,WARREN,1
SPRINGDALE,springdale,springdale,3,HAMILTON,1
SPRINGFIELD,springfield,springfield,39,CLARK,5
ST HENRY,st-henry,saint henry,1,MERCER,1
ST LOUISVILLE,st-louisville,saint louisville,1,LICKING,1
ST MARYS,st-marys,saint marys,1,AUGLAIZE,1
ST. CLAIRSVILLE,st-clairsville,saint clairsville,2,BELMONT,1
ST. PARIS,st-paris,saint paris,1,CHAMPAIGN,1
STERLING,sterling,sterling,1,WAYNE,1
STEUBENVILLE,steubenville,steubenville,16,JEFFERSON,2
STEWART,stewart,stewart,2,ATHENS,1
STOCKPORT,stockport,stockport,2,MORGAN,1
STONE CREEK,stone-creek,stone creek,1,TUSCARAWAS,1
STONGSVILLE,stongsville,stongsville,1,CUYAHOGA,1
STONY RIDGE,stony-ridge,stony ridge,1,WOOD,1
STOW,stow,stow,16,SUMMIT,2
STRASBURG,strasburg,strasburg,2,TUSCARAWAS,1
STREETSBORO,streetsboro,streetsboro,7,PORTAGE,1
STRONGSVILLE,strongsville,strongsville,20,CUYAHOGA,2
STRONGVILLE,strongville,strongville,3,CUYAHOGA,1
STRUTHERS,struthers,struthers,6,MAHONING,1
STRYKER,stryker,stryker,1,WILLIAMS,1
SUGAR GROVE,sugar-grove,sugar grove,1,FAIRFIELD,1
SULLIVAN,sullivan,sullivan,2,ASHLAND,1
SUNBURY,sunbury,sunbury,10,DELAWARE,2
SWANTON,swanton,swanton,4,FULTON,1
SYCAMORE,sycamore,sycamore,1,WYANDOT,1
SYLVANIA,sylvania,sylvania,29,LUCAS,1
SYMMES TOWNSHIP,symmes-township,symmes township,1,HAMILTON,1
SYRACUSE,syracuse,syracuse,1,MEIGS,1
TALLMADGE,tallmadge,tallmadge,7,SUMMIT,1
TERRACE PARK,terrace-park,terrace park,1,HAMILTON,1
THE PLAINS,the-plains,the plains,2,ATHENS,1
THOMPSON,thompson,thompson,1,GEAUGA,1
THORNVILLE,thornville,thornville,4,LICKING|PERRY,1
THURMAN,thurman,thurman,1,GALLIA,1
TIFFIN,tiffin,tiffin,12,SENECA,1
TILTONSVILLE,tiltonsville,tiltonsville,2,JEFFERSON,1
TIPP CITY,tipp-city,tipp city,9,MIAMI|MONTGOMERY,1
TOELDO,toeldo,toeldo,1,LUCAS,1
TOLEDO,toledo,toledo,320,LUCAS,15
TONTOGANY,tontogany,tontogany,1,WOOD,1
TORONTO,toronto,toronto,4,JEFFERSON,1
TRENTON,trenton,trenton,4,BUTLER,1
TROTWOOD,trotwood,trotwood,14,MONTGOMERY,2
TROY,troy,troy,19,MIAMI,1
TWINSBURG,twinsburg,twinsburg,10,SUMMIT,1
UHRICHSVILLE,uhrichsville,uhrichsville,4,TUSCARAWAS,1
UNION,union,union,2,MONTGOMERY,1
UNION CITY,union-city,union city,1,DARKE,1
UNION FURNACE,union-furnace,union furnace,2,HOCKING,1
UNIONTOWN,uniontown,uniontown,11,STARK|SUMMIT,1
UNIVERSITY,university,university,1,CUYAHOGA,1
UNIVERSITY HEIGHTS,university-heights,university heights,2,CUYAHOGA,1
UNIVERSITY HTS,university-hts,university heights,1,CUYAHOGA,1
UPPER,upper,upper,2,FRANKLIN|WYANDOT,2
UPPER ARLINGTON,upper-arlington,upper arlington,3,FRANKLIN,2
UPPER SANDUSKY,upper-sandusky,upper sandusky,5,WYANDOT,1
URBAN CREST,urban-crest,urban crest,1,FRANKLIN,1
URBANA,urbana,urbana,9,CHAMPAIGN,1
UTICA,utica,utica,4,LICKING,1
VALLEY CITY,valley-city,valley city,1,MEDINA,1
VAN BUREN,van-buren,van buren,1,HANCOCK,1
VAN WERT,van-wert,van wert,7,VAN WERT,1
VANDALIA,vandalia,vandalia,6,MONTGOMERY,1
VANLUE,vanlue,vanlue,1,HANCOCK,1
VERMILION,vermilion,vermilion,5,ERIE|LORAIN,1
VERSAILLES,versailles,versailles,3,DARKE,1
VINCENT,vincent,vincent,2,WASHINGTON,1
VINTON,vinton,vinton,2,GALLIA,1
W WORTHINGTON,w-worthington,w worthington,1,FRANKLIN,1
W. CARROLLTON,w-carrollton,w carrollton,1,MONTGOMERY,1
WADSWORTH,wadsworth,wadsworth,14,MEDINA,1
WAKEMAN,wakeman,wakeman,1,HURON,1
WALNUT CREEK,walnut-creek,walnut creek,1,HOLMES,1
WAPAKONETA,wapakoneta,wapakoneta,7,AUGLAIZE,1
WARREN,warren,warren,51,TRUMBULL,4
WARRENSVILLE,warrensville,warrensville,2,CUYAHOGA,1
WARRENSVILLE HEIGHTS,warrensville-heights,warrensville heights,8,CUYAHOGA,1
WARRENSVILLE HTS,warrensville-hts,warrensville heights,7,CUYAHOGA,2
WARRENSVILLE HTS.,warrensville-hts,warrensville heights,1,CUYAHOGA,1
WARSAW,warsaw,warsaw,2,COSHOCTON,1
WASH C.H.,wash-c-h,wash ch,1,FAYETTE,1
WASH. C.H.,wash-c-h,wash ch,1,FAYETTE,1
WASHINGTON,washington,washington,1,FAYETTE,1
WASHINGTON C H,washington-c-h,washington c h,2,FAYETTE,1
WASHINGTON C.H.,washington-c-h,washington ch,1,FAYETTE,1
WASHINGTON CH,washington-ch,washington ch,2,FAYETTE,1
WASHINGTON COURT HOU,washington-court-hou,washington court hou,1,FAYETTE,1
WASHINGTON COURT HOUSE,washington-court-house,washington court house,2,FAYETTE,1
WASHINGTON COURTHOUSE,washington-courthouse,washington courthouse,1,FAYETTE,1
WASHINGTON TOWNSHIP,washington-township,washington township,6,MONTGOMERY,3
WATERFORD,waterford,waterford,1,WASHINGTON,1
WATERVILLE,waterville,waterville,3,LUCAS,1
WAUSEON,wauseon,wauseon,8,FULTON,1
WAVERLY,waverly,waverly,9,PIKE,1
WAYNE,wayne,wayne,1,WARREN,1
WAYNESBURG,waynesburg,waynesburg,1,STARK,1
WAYNESFIELD,waynesfield,waynesfield,4,AUGLAIZE,1
WAYNESVILLE,waynesville,waynesville,1,WARREN,1
WAYNEVILLE,wayneville,wayneville,1,WARREN,1
WELLINGTON,wellington,wellington,2,LORAIN,1
WELLSTON,wellston,wellston,5,JACKSON,1
WELLSVILLE,wellsville,wellsville,8,COLUMBIANA,1
WEST,west,west,1,COSHOCTON,1
WEST ALEXANDRIA,west-alexandria,west alexandria,3,PREBLE,1
WEST CARROLLTON,west-carrollton,west carrollton,7,MONTGOMERY,1
WEST CHESTER,west-chester,west chester,24,BUTLER,2
WEST CHESTER TOWNSHIP,west-chester-township,west chester township,2,BUTLER,2
WEST JEFFERSON,west-jefferson,west jefferson,4,MADISON,1
WEST LAFAYETTE,west-lafayette,west lafayette,4,COSHOCTON,1
WEST LIBERTY,west-liberty,west liberty,3,CHAMPAIGN|LOGAN,2
WEST MILTON,west-milton,west milton,5,MIAMI,2
WEST PORTSMOUTH,west-portsmouth,west portsmouth,3,SCIOTO,1
WEST SALEM,west-salem,west salem,3,WAYNE,1
WEST UNION,west-union,west union,4,ADAMS,1
WEST UNITY,west-unity,west unity,1,WILLIAMS,1
WESTERVILLE,westerville,westerville,59,DELAWARE|FRANKLIN,2
WESTERVILLE RD,westerville-rd,westerville rd,1,FRANKLIN,1
WESTFIELD CNTR,westfield-cntr,westfield cntr,1,MEDINA,1
WESTLAKE,westlake,westlake,18,CUYAHOGA,1
WESTVILLE,westville,westville,1,CHAMPAIGN,1
WHEELERSBURG,wheelersburg,wheelersburg,7,SCIOTO,1
WHIPPLE,whipple,whipple,1,WASHINGTON,1
WHITEHALL,whitehall,whitehall,8,FRANKLIN,1
WHITEHOUSE,whitehouse,whitehouse,4,LUCAS,1
WICKLIFFE,wickliffe,wickliffe,10,LAKE,1
WILLARD,willard,willard,8,HURON,1
WILLIAMSBURG,williamsburg,williamsburg,2,CLERMONT,1
WILLIAMSFIELD,williamsfield,williamsfield,1,ASHTABULA,1
WILLIAMSPORT,williamsport,williamsport,2,PICKAWAY,1
WILLOUGBY HILLS,willougby-hills,willougby hills,1,LAKE,1
WILLOUGHBY,willoughby,willoughby,9,LAKE,2
WILLOUGHBY HILL,willoughby-hill,willoughby hill,1,LAKE,1
WILLOUGHBY HILLS,willoughby-hills,willoughby hills,1,LAKE,1
WILLOUGHBYHILLS,willoughbyhills,willoughbyhills,1,LAKE,1
WILLOW WOOD,willow-wood,willow wood,1,LAWRENCE,1
WILLOWICK,willowick,willowick,10,LAKE,1
WILMINGTON,wilmington,wilmington,10,CLINTON,1
WINDHAM,windham,windham,2,PORTAGE,1
WINONA,winona,winona,1,COLUMBIANA,1
WINTERSVILLE,wintersville,wintersville,6,JEFFERSON,2
WOODSFIELD,woodsfield,woodsfield,5,MONROE,1
WOODVILLE,woodville,woodville,2,SANDUSKY,1
WOOSTER,wooster,wooster,21,WAYNE,1
WORTHINGTON,worthington,worthington,23,FRANKLIN,2
WYOMING,wyoming,wyoming,4,HAMILTON,1
XENIA,xenia,xenia,18,GREENE,1
YELLOW SPRINGS,yellow-springs,yellow springs,5,CLARK|GREENE,1
YOUNGSTOWN,youngstown,youngstown,117,MAHONING|TRUMBULL,13
ZANESVILLE,zanesville,zanesville,55,MUSKINGUM,1
ZOARVILLE,zoarville,zoarville,2,TUSCARAWAS,1
